feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,12.0,-4990.2468072655165,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5)}",,,,,,,,aic,,,,,,,,13.0,-4990.00389976861,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,14.0,-4989.988379837278,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,15.0,-4989.986610084065,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5)}",,,,,,,,aic,,,,,,,,16.0,-4989.854306853293,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5)}",,,,,,,,aic,,,,,,,,17.0,-4989.594109671842,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,18.0,-4989.564289718581,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,19.0,-4989.30409253713,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,20.0,-4989.154499621812,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,21.0,-4989.031874625769,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,22.0,-4988.894302440362,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5)}",,,,,,,,aic,,,,,,,,23.0,-4988.787178392748,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,24.0,-4988.771677444318,full_product,full_product
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,25.0,-4988.349357078833,full_product,full_product
