feature,exog_lag,target_lags,AIC,BIC,selected_ic,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,exog_lags,lag_spec,component
__ffnn_combo__,,"(1, 12)",,,aic,,,,,28.0,-525.2596193278799,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[2], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,29.0,-525.2372661607303,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[2], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,30.0,-525.0029117939835,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[2], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,31.0,-523.1035400362749,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (1,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[1], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,32.0,-523.0811868691253,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (1,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[1], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,33.0,-522.8468325023784,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (1,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[1], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,34.0,-522.328209811724,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (3,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[3], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,35.0,-522.3058566445745,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (3,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[3], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,36.0,-522.0715022778276,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (6,), 'Import_CN': (3,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[6], Import_CN:[3], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,37.0,-523.2967455783494,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (2,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[2], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,38.0,-523.2743924111998,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (2,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[2], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,39.0,-523.0400380444528,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (2,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[2], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,40.0,-521.1406662867444,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (1,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[1], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,41.0,-521.1183131195947,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (1,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[1], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,42.0,-520.8839587528478,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (1,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[1], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,43.0,-520.3653360621936,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (3,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[3], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,44.0,-520.342982895044,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (3,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[3], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,45.0,-520.108628528297,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (5,), 'Import_CN': (3,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[5], Import_CN:[3], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,46.0,-522.7057910948757,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (3,), 'Import_CN': (2,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[3], Import_CN:[2], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,47.0,-522.6834379277261,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (3,), 'Import_CN': (2,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[3], Import_CN:[2], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,48.0,-522.4490835609791,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (3,), 'Import_CN': (2,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[3], Import_CN:[2], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,49.0,-520.5497118032707,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (3,), 'Import_CN': (1,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[3], Import_CN:[1], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,50.0,-520.5273586361211,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (3,), 'Import_CN': (1,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[3], Import_CN:[1], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,51.0,-520.2930042693741,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (3,), 'Import_CN': (1,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[3], Import_CN:[1], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,52.0,-519.7743815787198,"{'US_Retail': (1,), 'PCE': (3,), 'US_Sentiment': (3,), 'Import_CN': (3,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[3], US_Sentiment:[3], Import_CN:[3], USD_VND:[3]",raw_no_vmd
