group,series,nobs,mean,std,ADF_stat,ADF_pvalue,KPSS_stat,KPSS_pvalue,stationarity_decision,Diff1_ADF_stat,Diff1_ADF_pvalue,Diff1_KPSS_stat,Diff1_KPSS_pvalue,diff1_stationarity_decision,Jarque_Bera_stat,Jarque_Bera_pvalue,ARCH_LM_stat,ARCH_LM_pvalue,Ljung_Box_lag12_stat,Ljung_Box_lag12_pvalue
train_VMD3_cached_vmd,gold,251,0.005187140706234462,4.348605969883904,-5.092219772679508,1.4532884593758135e-05,0.022607915917272393,0.1,Stationary,-7.710150779522148,1.2702093670938221e-11,0.020807369679796427,0.1,Stationary,811.9800871597408,4.794732310967092e-177,226.38141128566258,1.1251555100389374e-41,1134.9741856572648,1.729506968980384e-235
train_VMD3_cached_vmd,policy_rate,251,0.00022253228472606323,0.18393613919769755,-7.464591768244131,5.24498324818688e-11,0.010912095678241824,0.1,Stationary,-7.990524643347187,2.481572239640309e-12,0.010930636592667216,0.1,Stationary,59.577386690763404,1.1559388414619205e-13,238.5994931333655,3.245082616604356e-44,1386.6324068204594,1.0597732094861355e-289
train_VMD3_cached_vmd,VNINDEX,251,0.012729838112848016,3.249388126277471,-6.117625965819662,9.014424884462353e-08,0.06633448985924925,0.1,Stationary,-6.078078259825805,1.1091121378826301e-07,0.09079086311630391,0.1,Stationary,2.452316799655618,0.2934176084732615,203.5333012108946,6.078608427613845e-37,1064.9669377778175,2.003579870293223e-220
train_VMD3_cached_vmd,NIKKEI225,251,0.17257127196290362,64.0691308773067,-7.381911741673231,8.429156850483153e-11,0.026573686664393217,0.1,Stationary,-9.239957162261629,1.592430556395586e-15,0.02652462991949354,0.1,Stationary,43.36701900014062,3.8279960046397676e-10,219.37705685787432,3.195729806880011e-40,935.1040651288258,1.657143072971801e-192
train_VMD3_cached_vmd,USDVND,251,-0.004801902685698977,14.873709710356101,-4.3881065590431385,0.00031155401179796714,0.03807766917225526,0.1,Stationary,-8.983172858805416,7.217751831049807e-15,0.08524306912569757,0.1,Stationary,134.90403535244604,5.0811372954886256e-30,209.22092106166025,4.055126498831711e-38,826.7611744375772,3.012542764150262e-169
train_RES_cached_vmd,cpi_mom_inflation,251,0.0222308844584569,0.811753687286132,-5.301711827618231,5.431122539739384e-06,0.12273206831762004,0.1,Stationary,-13.36488814904531,5.337601753315862e-25,0.17318765241808584,0.1,Stationary,65.78967623908481,5.17551202025044e-15,86.19495172139182,2.6805573488512753e-13,120.92018215176219,4.050305104759294e-20
train_RES_cached_vmd,broad_money,251,4.809644649031188,1.8773709511610286,-1.866996755926959,0.34774253513255604,1.4790139126777209,0.01,Non-stationary,-4.005188895942193,0.0013835830679087416,0.09722868837511607,0.1,Stationary,66.68590758757065,3.306276398861445e-15,227.3815933035394,6.974480676408684e-42,2455.6227261693575,0.0
train_RES_cached_vmd,ppi_qoq,251,-0.7300000000000001,1.1124412546581783e-16,,,,,Mixed/unclear,,,,,Mixed/unclear,,,,,,
train_RES_cached_vmd,wti,251,52.313236143839816,30.235291894064478,-1.6114583233122652,0.4772101151032855,1.5858437001545205,0.01,Non-stationary,-7.783220010492553,8.31014385503456e-12,0.09306023083201008,0.1,Stationary,20.1745128309723,4.160640586193301e-05,198.9012270099364,5.497534998828208e-36,2320.688934994576,0.0
train_RES_cached_vmd,gold,251,719.2256410021312,461.9230933077424,-1.2749668527568105,0.6405457894007962,1.753103300306413,0.01,Non-stationary,-2.9526990171423946,0.03955409431521943,0.36956541226643813,0.0902735291955008,Stationary,26.872623475915564,1.461113505463522e-06,225.59656703978487,1.637443972200436e-41,2896.4659338775423,0.0
train_RES_cached_vmd,policy_rate,251,8.30788983624884,2.666886317848831,-3.0990968349836527,0.026620098976857864,0.29163138176016107,0.1,Stationary,-6.858913319598047,1.6213713439884322e-09,0.04050039530304073,0.1,Stationary,27.148640508701835,1.2727632237032523e-06,208.5867209681743,5.485192496091635e-38,1616.7578602883361,0.0
train_RES_cached_vmd,VNINDEX,251,340.6938868803705,230.40131926584053,-2.1907294770714727,0.20962731097743686,1.2854471921613413,0.01,Non-stationary,-4.405275515568263,0.0002905160199325575,0.051319781754878016,0.1,Stationary,86.34208511366795,1.782602205680826e-19,218.13788790878326,5.7738728014035365e-40,2019.7093985359297,0.0
train_RES_cached_vmd,NIKKEI225,251,14326.067907420978,3518.0857455939463,-1.831235371747036,0.3650681327691243,0.489858227715694,0.04395084961358244,Non-stationary,-14.334945932734978,1.084027089474952e-26,0.12057992190539168,0.1,Stationary,15.34343367298789,0.00046581740448570593,186.55806385325397,1.9178931683823102e-33,2013.0715409946492,0.0
train_RES_cached_vmd,USDVND,251,16367.450197575643,3143.94148403684,-1.4428865744481267,0.5615519611695391,2.241099055293612,0.01,Non-stationary,-2.533738090150993,0.10747976150817573,0.40973012615058396,0.07296115252130002,Mixed/unclear,21.554430342036607,2.0869638239568095e-05,234.3826745100085,2.446313041625432e-43,2876.2900163005706,0.0
