component,rank,lag_spec,nobs,AIC,BIC,HQIC,resid_Ljung_Box_lag12_stat,resid_Ljung_Box_lag12_pvalue,resid_ARCH_LM_stat,resid_ARCH_LM_pvalue,resid_Jarque_Bera_stat,resid_Jarque_Bera_pvalue,resid_skewness,resid_kurtosis
VMD2,5,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[1]",239,-706.5076521821302,-664.7900895589521,-689.6966228524956,622.1389229810786,1.978651814929433e-125,191.18415487652263,2.1423460714610066e-34,35.694489651757536,1.7743531217868222e-08,-0.034466348913939494,4.891991591221961
VMD2,6,"target:[1, 12] | broad_money:[5], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.5056206319485,-664.7880580087703,-689.6945913023139,622.1214941080864,1.9956913431421706e-125,191.13925696395694,2.188439666964604e-34,35.70384347193755,1.7660740071966697e-08,-0.03262706881256357,4.892370231048231
VMD2,7,"target:[1, 12] | broad_money:[4], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.5053251964115,-664.7877625732333,-689.6942958667769,622.1183278070331,1.9988026248067688e-125,191.11159548247457,2.2173298755578906e-34,35.71493494701281,1.7563069321304987e-08,-0.033225649228023985,4.892622838037287
VMD2,8,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[5], USDVND:[4]",239,-706.5025508199226,-664.7849881967445,-689.691521490288,622.0862559835588,2.0305918299828125e-125,191.60534119211113,1.7545156894225095e-34,35.78816375891444,1.6931638248814684e-08,-0.03776924969238748,4.894223967248308
VMD2,9,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[4]",239,-706.5013861042393,-664.7838234810611,-689.6903567746047,622.0809465879815,2.035902998631781e-125,191.84587408970447,1.565384943884819e-34,35.84882380999356,1.6425810882499858e-08,-0.04214586987262127,4.8954621577547694
VMD2,10,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[2], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.505543082088,-664.7879804589099,-689.6945137524534,622.135620194779,1.9818696100212033e-125,191.0043251898396,2.333016114447352e-34,35.6866819818628,1.781293441630041e-08,-0.03146716260517287,4.8919934288992115
VMD2,11,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[2], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.4915732682,-664.7740106450219,-689.6805439385654,622.0919277246142,2.0249334993055644e-125,191.10743537909616,2.2217076213008745e-34,35.68870609858321,1.7794915806584872e-08,-0.03208085880377475,4.892005918823704
VMD2,12,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[3], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.5052381256647,-664.7876755024865,-689.6942087960301,622.1342671714613,1.983189326151268e-125,190.84013089647684,2.521882079331135e-34,35.68108421827745,1.786286055019352e-08,-0.0310908972638512,4.891869755082987
VMD2,13,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[3], gold:[1], policy_rate:[1], VNINDEX:[3], NIKKEI225:[4], USDVND:[4]",239,-706.4718792467057,-664.7543166235275,-689.6608499170711,622.0517699275149,2.0653382860155618e-125,191.0854251426517,2.2450135138603456e-34,35.655886206367754,1.808933853958135e-08,-0.03128208061327112,4.891188284440838
VMD2,14,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[1], gold:[1], policy_rate:[1], VNINDEX:[2], NIKKEI225:[4], USDVND:[4]",239,-706.4657181889901,-664.7481555658119,-689.6546888593555,621.9767715271922,2.1429691528320659e-125,191.2486957961692,2.077781000464585e-34,35.62061155834891,1.8411216251295347e-08,-0.03238120545282353,4.890177506886882
